measure_full,value,proj_desc,proj_inum,data_year,direction,measure,xticnames
NORTHBOUNDlottr_pmpk,1.4716061563598815,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.3942116053040752,Auburn Blvd- Watt Ave to Madison Ave,11,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
SOUTHBOUND_calc_len,13734.161188304373,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,_calc_len,_calc_len
SOUTHBOUNDff_speed_art60thp,36.58466241301315,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,ff_speed_art60thp,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,19.50064170415481,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
SOUTHBOUNDlottr_ampk,1.4697047028489771,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_ampk,M-F 6a-10a
SOUTHBOUNDlottr_md,1.3898039609616553,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_md,M-F 10a-4p
SOUTHBOUNDlottr_pmpk,1.5310581569273771,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_pmpk,M-F 4p-8p
SOUTHBOUNDlottr_wknd,1.3678694483726006,Auburn Blvd- Watt Ave to Madison Ave,11,2016,SOUTHBOUND,lottr_wknd,Sat-Sun 6a-8p
NORTHBOUND_calc_len,13489.352068356497,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,_calc_len,_calc_len
NORTHBOUNDff_speed_art60thp,42.426178220741384,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,ff_speed_art60thp,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,23.918364676816402,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,havg_spd_worst4hrs,"Avg Speed, Slowest 4 hrs"
NORTHBOUNDlottr_ampk,1.1629247853278624,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_ampk,M-F 6a-10a
NORTHBOUNDlottr_md,1.2063387385402213,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_md,M-F 10a-4p
NORTHBOUNDlottr_pmpk,1.3125282227086066,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_pmpk,M-F 4p-8p
NORTHBOUNDlottr_wknd,1.253215373928369,Sunrise Blvd- Madison Ave to Gold Country Blvd,12,2016,NORTHBOUND,lottr_wknd,Sat-Sun 6a-8p
