measure_full,value,proj_desc,proj_inum,data_year,direction,measure
WESTBOUNDlottr_pmpk,1.416155439,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.406358459,Florin Road- Franklin Blvd to Elk Grove Florin Road-South Watt Ave,13,2016,WESTBOUND,lottr_wknd
EASTBOUND_calc_len,11093.86826,US 50- I-5 to SR 99,14,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,63.57698519,US 50- I-5 to SR 99,14,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,30.89893102,US 50- I-5 to SR 99,14,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.142164339,US 50- I-5 to SR 99,14,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.110486449,US 50- I-5 to SR 99,14,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,2.162770302,US 50- I-5 to SR 99,14,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.057998144,US 50- I-5 to SR 99,14,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,5884.786574,US 50- I-5 to SR 99,14,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,63.41897297,US 50- I-5 to SR 99,14,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,28.9206243,US 50- I-5 to SR 99,14,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.373839339,US 50- I-5 to SR 99,14,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.133031443,US 50- I-5 to SR 99,14,2016,WESTBOUND,lottr_md
